
===========================================================================
HoloNet TEST INFERENCE
===========================================================================
Device:              cuda
Model:               best_model_fft_final.pth
Patch size:          256
Patches/image:      64

Training Z normalization:
  Z mean = 30.59822877
  Z std  = 21.75293980

Number of test images: 5653
Model loaded successfully.

Image | Z_GT | Z_pred | Abs Error | Time(s)
73337.tiff | 28.534 | 28.056 | 0.478 | 0.0330
70731.tiff | 1.699 | 3.764 | 2.064 | 0.0330
65612.tiff | 25.610 | 25.040 | 0.570 | 0.0330
67957.tiff | 41.810 | 47.181 | 5.372 | 0.0330
67115.tiff | 19.040 | 16.583 | 2.457 | 0.0330
69266.tiff | 17.191 | 16.300 | 0.891 | 0.0330
68992.tiff | 16.381 | 14.901 | 1.480 | 0.0330
74149.tiff | 32.215 | 29.517 | 2.698 | 0.0330
68496.tiff | 25.178 | 24.768 | 0.410 | 0.0330
67603.tiff | 14.410 | 18.783 | 4.372 | 0.0330
65512.tiff | 17.977 | 17.958 | 0.019 | 0.0330
74226.tiff | 25.938 | 22.155 | 3.783 | 0.0330
74026.tiff | 26.323 | 23.282 | 3.041 | 0.0330
68527.tiff | 22.519 | 21.946 | 0.573 | 0.0330
72730.tiff | 11.654 | 11.872 | 0.218 | 0.0330
69979.tiff | 36.749 | 37.628 | 0.879 | 0.0330
74085.tiff | 30.941 | 28.240 | 2.700 | 0.0330
68791.tiff | 0.611 | 3.805 | 3.195 | 0.0330
72592.tiff | 0.159 | 3.403 | 3.244 | 0.0330
73953.tiff | 20.773 | 18.273 | 2.500 | 0.0330
69346.tiff | 11.028 | 10.713 | 0.315 | 0.0330
71146.tiff | 34.955 | 36.492 | 1.537 | 0.0330
70454.tiff | 21.316 | 23.280 | 1.965 | 0.0330
75275.tiff | 36.352 | 40.345 | 3.993 | 0.0330
75089.tiff | 45.036 | 44.652 | 0.384 | 0.0330
71504.tiff | 7.491 | 9.944 | 2.453 | 0.0330
70741.tiff | 2.523 | 3.943 | 1.420 | 0.0330
76201.tiff | 31.999 | 68.997 | 36.999 | 0.0330
70684.tiff | 2.205 | 4.494 | 2.289 | 0.0330
68209.tiff | 48.700 | 53.698 | 4.997 | 0.0330
66110.tiff | 63.481 | 64.464 | 0.982 | 0.0330
72681.tiff | 7.566 | 7.810 | 0.245 | 0.0330
71811.tiff | 14.625 | 17.992 | 3.367 | 0.0330
66039.tiff | 58.067 | 59.097 | 1.030 | 0.0330
65021.tiff | 1.183 | 2.829 | 1.646 | 0.0330
69869.tiff | 28.333 | 28.299 | 0.033 | 0.0330
75843.tiff | 8.213 | 4.166 | 4.046 | 0.0330
70365.tiff | 28.366 | 31.766 | 3.400 | 0.0330
69238.tiff | 19.367 | 18.067 | 1.299 | 0.0331
65935.tiff | 50.069 | 51.544 | 1.475 | 0.0330
69569.tiff | 5.388 | 6.410 | 1.023 | 0.0330
74691.tiff | 13.464 | 18.325 | 4.861 | 0.0330
67985.tiff | 43.965 | 49.126 | 5.161 | 0.0330
65395.tiff | 10.057 | 10.961 | 0.905 | 0.0330
68541.tiff | 21.416 | 20.881 | 0.535 | 0.0330
66738.tiff | 15.746 | 14.880 | 0.866 | 0.0330
67166.tiff | 18.032 | 16.080 | 1.952 | 0.0330
65562.tiff | 21.806 | 21.694 | 0.113 | 0.0330
73036.tiff | 37.062 | 38.036 | 0.974 | 0.0330
66163.tiff | 62.870 | 63.541 | 0.670 | 0.0330
74049.tiff | 28.210 | 25.248 | 2.962 | 0.0330
76120.tiff | 29.676 | 23.101 | 6.575 | 0.0330
66730.tiff | 16.423 | 15.449 | 0.974 | 0.0330
66528.tiff | 33.387 | 33.906 | 0.520 | 0.0330
65843.tiff | 43.097 | 45.264 | 2.167 | 0.0330
67931.tiff | 39.801 | 45.576 | 5.775 | 0.0330
71750.tiff | 9.894 | 13.774 | 3.880 | 0.0330
65059.tiff | 2.030 | 5.078 | 3.047 | 0.0330
67866.tiff | 34.876 | 41.088 | 6.213 | 0.0330
70323.tiff | 31.855 | 35.831 | 3.976 | 0.0330
70805.tiff | 9.224 | 9.203 | 0.021 | 0.0330
67292.tiff | 8.446 | 7.677 | 0.769 | 0.0330
72780.tiff | 15.824 | 16.070 | 0.245 | 0.0330
73862.tiff | 13.864 | 12.078 | 1.786 | 0.0330
69202.tiff | 22.099 | 20.099 | 2.000 | 0.0330
71692.tiff | 7.119 | 5.036 | 2.084 | 0.0330
71387.tiff | 16.513 | 18.079 | 1.566 | 0.0330
70305.tiff | 33.380 | 37.358 | 3.979 | 0.0330
67725.tiff | 24.064 | 28.707 | 4.643 | 0.0330
71119.tiff | 35.411 | 36.777 | 1.367 | 0.0330
70465.tiff | 20.412 | 22.576 | 2.164 | 0.0330
65415.tiff | 11.192 | 12.232 | 1.040 | 0.0330
75745.tiff | 0.617 | 4.604 | 3.987 | 0.0330
72725.tiff | 11.249 | 11.664 | 0.414 | 0.0330
70943.tiff | 20.741 | 20.647 | 0.094 | 0.0330
73828.tiff | 11.188 | 9.677 | 1.512 | 0.0330
69787.tiff | 22.048 | 21.944 | 0.104 | 0.0330
70246.tiff | 38.298 | 42.482 | 4.183 | 0.0330
73737.tiff | 4.210 | 3.811 | 0.399 | 0.0330
74654.tiff | 10.390 | 15.211 | 4.820 | 0.0330
71734.tiff | 9.365 | 6.723 | 2.642 | 0.0330
75754.tiff | 1.291 | 4.165 | 2.874 | 0.0330
67908.tiff | 38.065 | 44.202 | 6.137 | 0.0330
73089.tiff | 41.431 | 42.259 | 0.828 | 0.0330
71393.tiff | 16.012 | 17.489 | 1.477 | 0.0330
67134.tiff | 20.430 | 17.957 | 2.473 | 0.0330
66898.tiff | 0.742 | 3.890 | 3.148 | 0.0330
74297.tiff | 20.007 | 16.434 | 3.574 | 0.0330
70801.tiff | 8.920 | 8.734 | 0.186 | 0.0330
73324.tiff | 30.530 | 33.064 | 2.534 | 0.0330
73463.tiff | 17.302 | 17.676 | 0.374 | 0.0330
73769.tiff | 6.679 | 5.409 | 1.270 | 0.0330
75932.tiff | 15.072 | 9.141 | 5.931 | 0.0330
74352.tiff | 15.181 | 11.477 | 3.704 | 0.0330
66818.tiff | 9.029 | 8.160 | 0.869 | 0.0330
66938.tiff | 4.124 | 3.503 | 0.622 | 0.0330
68882.tiff | 6.988 | 9.417 | 2.430 | 0.0330
67336.tiff | 5.064 | 4.889 | 0.175 | 0.0330
67073.tiff | 15.494 | 13.466 | 2.028 | 0.0330
76044.tiff | 23.797 | 17.090 | 6.706 | 0.0330
66727.tiff | 16.701 | 15.797 | 0.904 | 0.0330
66048.tiff | 58.714 | 59.703 | 0.989 | 0.0330
70382.tiff | 26.937 | 29.994 | 3.058 | 0.0330
67816.tiff | 31.068 | 37.230 | 6.162 | 0.0330
74082.tiff | 30.742 | 27.814 | 2.928 | 0.0330
67321.tiff | 6.232 | 5.690 | 0.543 | 0.0330
69735.tiff | 18.040 | 17.830 | 0.210 | 0.0330
75391.tiff | 26.972 | 30.088 | 3.116 | 0.0330
69318.tiff | 13.193 | 13.088 | 0.105 | 0.0330
72832.tiff | 20.099 | 19.860 | 0.239 | 0.0330
65767.tiff | 37.276 | 38.736 | 1.460 | 0.0330
67862.tiff | 34.593 | 41.057 | 6.464 | 0.0330
70131.tiff | 48.340 | 48.600 | 0.260 | 0.0330
66145.tiff | 64.317 | 64.999 | 0.682 | 0.0330
74252.tiff | 23.706 | 20.178 | 3.528 | 0.0330
67511.tiff | 8.380 | 9.789 | 1.409 | 0.0330
73290.tiff | 33.201 | 35.618 | 2.418 | 0.0330
67274.tiff | 9.804 | 9.361 | 0.442 | 0.0330
75318.tiff | 32.514 | 37.090 | 4.577 | 0.0330
68414.tiff | 32.054 | 33.677 | 1.624 | 0.0330
74036.tiff | 27.176 | 24.089 | 3.087 | 0.0330
75760.tiff | 1.783 | 3.811 | 2.028 | 0.0330
69708.tiff | 16.017 | 15.670 | 0.346 | 0.0330
65103.tiff | 5.731 | 8.214 | 2.484 | 0.0330
66990.tiff | 8.465 | 6.653 | 1.812 | 0.0330
68652.tiff | 12.187 | 11.616 | 0.571 | 0.0330
74053.tiff | 28.432 | 25.690 | 2.742 | 0.0330
72175.tiff | 34.469 | 37.788 | 3.319 | 0.0330
65829.tiff | 42.018 | 44.268 | 2.251 | 0.0330
73242.tiff | 36.943 | 38.648 | 1.704 | 0.0330
66673.tiff | 21.147 | 19.894 | 1.253 | 0.0330
69899.tiff | 30.590 | 31.279 | 0.689 | 0.0330
69958.tiff | 35.166 | 36.344 | 1.178 | 0.0330
72797.tiff | 17.186 | 17.178 | 0.008 | 0.0330
67857.tiff | 34.142 | 40.453 | 6.310 | 0.0330
69503.tiff | 0.853 | 4.023 | 3.171 | 0.0330
68316.tiff | 40.242 | 43.048 | 2.806 | 0.0330
67276.tiff | 9.629 | 9.019 | 0.610 | 0.0330
76263.tiff | 37.115 | 24.972 | 12.143 | 0.0330
69096.tiff | 24.984 | 22.392 | 2.592 | 0.0330
68356.tiff | 36.912 | 39.396 | 2.485 | 0.0330
67046.tiff | 13.222 | 11.602 | 1.619 | 0.0330
75673.tiff | 4.926 | 9.080 | 4.154 | 0.0330
73442.tiff | 18.977 | 18.949 | 0.028 | 0.0330
73484.tiff | 15.698 | 16.452 | 0.754 | 0.0330
66296.tiff | 52.479 | 54.487 | 2.008 | 0.0330
74301.tiff | 19.689 | 16.014 | 3.675 | 0.0330
65592.tiff | 24.073 | 23.714 | 0.359 | 0.0330
65222.tiff | 3.511 | 3.138 | 0.373 | 0.0330
75849.tiff | 8.657 | 4.454 | 4.203 | 0.0330
72206.tiff | 31.942 | 34.896 | 2.954 | 0.0330
70654.tiff | 4.737 | 6.302 | 1.565 | 0.0330
65859.tiff | 44.284 | 46.655 | 2.371 | 0.0330
69413.tiff | 5.999 | 5.988 | 0.010 | 0.0330
75675.tiff | 4.717 | 9.084 | 4.366 | 0.0330
72825.tiff | 19.534 | 19.304 | 0.229 | 0.0330
65842.tiff | 42.975 | 45.361 | 2.386 | 0.0330
71591.tiff | 0.751 | 4.359 | 3.609 | 0.0330
73496.tiff | 14.806 | 15.721 | 0.915 | 0.0330
70016.tiff | 39.633 | 39.641 | 0.008 | 0.0330
73734.tiff | 3.931 | 3.722 | 0.209 | 0.0330
65995.tiff | 54.653 | 55.555 | 0.902 | 0.0330
70614.tiff | 8.131 | 9.406 | 1.276 | 0.0330
70607.tiff | 8.678 | 9.953 | 1.275 | 0.0330
66555.tiff | 31.147 | 30.963 | 0.183 | 0.0330
74812.tiff | 23.419 | 28.392 | 4.973 | 0.0330
73608.tiff | 5.778 | 7.001 | 1.223 | 0.0330
73744.tiff | 4.734 | 4.142 | 0.592 | 0.0330
68529.tiff | 22.387 | 21.878 | 0.509 | 0.0330
68571.tiff | 18.896 | 18.032 | 0.864 | 0.0330
70891.tiff | 16.444 | 16.452 | 0.008 | 0.0330
67849.tiff | 33.583 | 39.909 | 6.326 | 0.0330
70488.tiff | 18.548 | 20.312 | 1.765 | 0.0330
72872.tiff | 23.399 | 23.146 | 0.253 | 0.0330
67514.tiff | 8.593 | 10.124 | 1.531 | 0.0330
75450.tiff | 22.170 | 25.365 | 3.195 | 0.0330
66464.tiff | 38.760 | 40.770 | 2.010 | 0.0330
70822.tiff | 10.629 | 10.630 | 0.001 | 0.0330
69150.tiff | 26.074 | 23.563 | 2.511 | 0.0330
67836.tiff | 32.582 | 38.832 | 6.250 | 0.0330
68778.tiff | 1.705 | 3.710 | 2.005 | 0.0330
75083.tiff | 44.592 | 44.391 | 0.201 | 0.0330
67234.tiff | 12.882 | 11.955 | 0.926 | 0.0330
68051.tiff | 49.007 | 54.545 | 5.537 | 0.0330
71968.tiff | 27.079 | 30.446 | 3.367 | 0.0330
65401.tiff | 10.497 | 11.599 | 1.102 | 0.0330
69227.tiff | 20.172 | 18.567 | 1.605 | 0.0330
69327.tiff | 12.556 | 12.365 | 0.192 | 0.0330
69601.tiff | 7.856 | 8.446 | 0.591 | 0.0330
76073.tiff | 26.052 | 19.406 | 6.646 | 0.0330
72273.tiff | 26.368 | 28.524 | 2.157 | 0.0330
75800.tiff | 4.875 | 3.173 | 1.701 | 0.0330
69068.tiff | 22.660 | 20.230 | 2.430 | 0.0330
76181.tiff | 31.995 | 69.219 | 37.224 | 0.0330
70014.tiff | 39.451 | 39.672 | 0.220 | 0.0330
65060.tiff | 2.135 | 4.953 | 2.817 | 0.0330
74022.tiff | 26.094 | 23.328 | 2.766 | 0.0330
73724.tiff | 3.197 | 3.527 | 0.330 | 0.0330
69418.tiff | 5.641 | 5.632 | 0.008 | 0.0330
73384.tiff | 23.457 | 22.866 | 0.590 | 0.0330
66329.tiff | 49.680 | 51.803 | 2.124 | 0.0330
69833.tiff | 25.526 | 25.428 | 0.098 | 0.0330
73447.tiff | 18.624 | 18.989 | 0.365 | 0.0330
74642.tiff | 9.415 | 14.314 | 4.899 | 0.0330
73540.tiff | 11.363 | 12.541 | 1.179 | 0.0330
71875.tiff | 19.567 | 23.158 | 3.590 | 0.0330
66551.tiff | 31.475 | 31.085 | 0.390 | 0.0330
66010.tiff | 55.808 | 56.657 | 0.849 | 0.0330
72439.tiff | 12.529 | 14.125 | 1.596 | 0.0330
67555.tiff | 11.787 | 13.107 | 1.320 | 0.0330
75494.tiff | 18.724 | 22.302 | 3.578 | 0.0330
66613.tiff | 26.260 | 25.192 | 1.069 | 0.0330
67738.tiff | 25.087 | 29.587 | 4.500 | 0.0330
69956.tiff | 34.983 | 35.863 | 0.880 | 0.0330
73794.tiff | 8.560 | 7.135 | 1.425 | 0.0330
75822.tiff | 6.554 | 3.549 | 3.005 | 0.0330
65649.tiff | 28.368 | 27.826 | 0.542 | 0.0330
67863.tiff | 34.629 | 40.887 | 6.258 | 0.0330
65880.tiff | 45.851 | 47.884 | 2.032 | 0.0330
72137.tiff | 37.600 | 41.264 | 3.664 | 0.0330
74913.tiff | 31.735 | 39.315 | 7.580 | 0.0330
67304.tiff | 7.559 | 6.875 | 0.684 | 0.0330
70539.tiff | 14.292 | 15.420 | 1.129 | 0.0330
66625.tiff | 25.239 | 24.048 | 1.191 | 0.0330
65551.tiff | 20.966 | 21.027 | 0.061 | 0.0330
71142.tiff | 35.366 | 36.363 | 0.997 | 0.0330
73501.tiff | 14.434 | 15.218 | 0.785 | 0.0330
70932.tiff | 19.867 | 19.776 | 0.091 | 0.0330
69861.tiff | 27.741 | 27.827 | 0.085 | 0.0330
74856.tiff | 27.056 | 33.899 | 6.843 | 0.0330
70441.tiff | 22.432 | 24.468 | 2.036 | 0.0330
65212.tiff | 4.260 | 3.486 | 0.774 | 0.0330
72411.tiff | 14.802 | 16.463 | 1.661 | 0.0330
70036.tiff | 41.201 | 41.512 | 0.311 | 0.0330
74076.tiff | 30.281 | 27.207 | 3.073 | 0.0330
75764.tiff | 2.049 | 3.730 | 1.680 | 0.0330
65069.tiff | 2.892 | 5.585 | 2.693 | 0.0330
66439.tiff | 40.824 | 43.453 | 2.629 | 0.0330
67516.tiff | 8.760 | 10.136 | 1.376 | 0.0330
67869.tiff | 35.059 | 41.296 | 6.237 | 0.0330
72234.tiff | 29.603 | 32.008 | 2.405 | 0.0330
70825.tiff | 10.809 | 10.845 | 0.037 | 0.0330
74498.tiff | 2.570 | 3.553 | 0.983 | 0.0330
65697.tiff | 32.013 | 32.035 | 0.021 | 0.0330
73225.tiff | 38.313 | 39.796 | 1.483 | 0.0330
73982.tiff | 23.018 | 20.437 | 2.581 | 0.0330
72114.tiff | 37.273 | 40.994 | 3.721 | 0.0330
69116.tiff | 26.627 | 24.080 | 2.547 | 0.0330
66315.tiff | 50.857 | 52.788 | 1.931 | 0.0330
71007.tiff | 26.144 | 25.495 | 0.649 | 0.0330
73780.tiff | 7.529 | 6.209 | 1.320 | 0.0330
68521.tiff | 23.078 | 22.683 | 0.396 | 0.0330
69455.tiff | 2.783 | 3.972 | 1.188 | 0.0330
65013.tiff | 1.782 | 2.713 | 0.931 | 0.0330
70467.tiff | 20.258 | 22.372 | 2.114 | 0.0330
65819.tiff | 41.214 | 43.598 | 2.384 | 0.0330
73771.tiff | 6.801 | 5.598 | 1.203 | 0.0330
66347.tiff | 48.182 | 50.325 | 2.143 | 0.0330
74786.tiff | 21.275 | 26.072 | 4.797 | 0.0330
65454.tiff | 13.580 | 14.181 | 0.601 | 0.0330
73840.tiff | 12.130 | 10.385 | 1.745 | 0.0330
75958.tiff | 17.023 | 10.834 | 6.189 | 0.0330
66657.tiff | 22.551 | 21.277 | 1.274 | 0.0330
74576.tiff | 3.903 | 8.551 | 4.648 | 0.0330
74879.tiff | 28.885 | 36.110 | 7.225 | 0.0330
73899.tiff | 16.598 | 14.459 | 2.138 | 0.0330
65038.tiff | 0.261 | 3.538 | 3.277 | 0.0330
66044.tiff | 58.419 | 59.319 | 0.901 | 0.0330
67909.tiff | 38.089 | 44.427 | 6.339 | 0.0330
70762.tiff | 4.262 | 4.770 | 0.508 | 0.0330
65941.tiff | 50.511 | 51.908 | 1.398 | 0.0330
68594.tiff | 17.001 | 16.282 | 0.719 | 0.0330
73145.tiff | 44.457 | 44.640 | 0.182 | 0.0330
68783.tiff | 1.237 | 3.726 | 2.489 | 0.0330
68845.tiff | 3.876 | 6.328 | 2.452 | 0.0330
69541.tiff | 3.279 | 5.039 | 1.759 | 0.0330
74520.tiff | 0.771 | 4.401 | 3.631 | 0.0330
71488.tiff | 8.753 | 11.070 | 2.317 | 0.0330
65539.tiff | 20.036 | 20.116 | 0.080 | 0.0330
75912.tiff | 13.503 | 7.955 | 5.548 | 0.0330
75684.tiff | 4.027 | 8.362 | 4.335 | 0.0330
66401.tiff | 43.994 | 46.718 | 2.725 | 0.0330
70219.tiff | 41.395 | 41.014 | 0.381 | 0.0330
69839.tiff | 26.033 | 25.699 | 0.334 | 0.0330
67268.tiff | 10.299 | 9.640 | 0.659 | 0.0330
74798.tiff | 22.258 | 26.999 | 4.741 | 0.0330
76273.tiff | 39.154 | 31.042 | 8.112 | 0.0330
67471.tiff | 5.264 | 6.924 | 1.660 | 0.0330
73542.tiff | 11.230 | 12.296 | 1.066 | 0.0330
72614.tiff | 2.040 | 3.538 | 1.498 | 0.0330
68615.tiff | 15.282 | 14.386 | 0.896 | 0.0330
71459.tiff | 10.987 | 13.187 | 2.200 | 0.0330
70177.tiff | 44.558 | 44.739 | 0.181 | 0.0330
69831.tiff | 25.413 | 25.180 | 0.232 | 0.0330
68533.tiff | 22.066 | 21.510 | 0.556 | 0.0330
65267.tiff | 0.231 | 2.830 | 2.599 | 0.0330
66109.tiff | 63.401 | 64.214 | 0.813 | 0.0330
75325.tiff | 32.122 | 36.514 | 4.392 | 0.0330
75235.tiff | 39.342 | 42.597 | 3.255 | 0.0330
69880.tiff | 29.154 | 29.426 | 0.272 | 0.0330
71177.tiff | 32.650 | 33.353 | 0.703 | 0.0330
69642.tiff | 10.998 | 11.100 | 0.102 | 0.0330
71011.tiff | 26.481 | 25.784 | 0.697 | 0.0330
66740.tiff | 15.564 | 14.652 | 0.912 | 0.0330
65231.tiff | 2.518 | 2.733 | 0.215 | 0.0330
73773.tiff | 6.935 | 5.714 | 1.222 | 0.0330
65899.tiff | 47.307 | 49.141 | 1.834 | 0.0330
74853.tiff | 26.823 | 33.352 | 6.529 | 0.0330
70970.tiff | 23.035 | 22.720 | 0.315 | 0.0330
72199.tiff | 32.464 | 35.516 | 3.051 | 0.0330
70026.tiff | 40.392 | 40.833 | 0.441 | 0.0330
70667.tiff | 3.640 | 5.255 | 1.615 | 0.0330
69210.tiff | 21.492 | 19.517 | 1.975 | 0.0330
66564.tiff | 30.402 | 29.922 | 0.480 | 0.0330
68510.tiff | 23.988 | 23.516 | 0.472 | 0.0330
75298.tiff | 34.443 | 38.930 | 4.487 | 0.0330
68072.tiff | 50.559 | 55.947 | 5.388 | 0.0330
72464.tiff | 10.411 | 11.846 | 1.435 | 0.0330
76078.tiff | 26.381 | 20.067 | 6.314 | 0.0330
71033.tiff | 28.298 | 27.608 | 0.689 | 0.0330
70194.tiff | 43.091 | 43.096 | 0.005 | 0.0330
74051.tiff | 28.335 | 25.560 | 2.775 | 0.0330
75118.tiff | 47.404 | 45.470 | 1.934 | 0.0330
75490.tiff | 19.037 | 22.524 | 3.487 | 0.0330
69563.tiff | 4.921 | 6.083 | 1.162 | 0.0330
70545.tiff | 13.788 | 15.007 | 1.219 | 0.0330
76238.tiff | 33.203 | 24.941 | 8.262 | 0.0330
71576.tiff | 1.958 | 5.110 | 3.152 | 0.0330
73623.tiff | 4.648 | 6.089 | 1.441 | 0.0330
69451.tiff | 3.130 | 4.207 | 1.078 | 0.0330
67841.tiff | 32.951 | 38.917 | 5.966 | 0.0330
69626.tiff | 9.722 | 9.930 | 0.208 | 0.0330
68539.tiff | 21.530 | 20.990 | 0.539 | 0.0330
74822.tiff | 24.195 | 29.684 | 5.490 | 0.0330
75267.tiff | 36.907 | 41.026 | 4.119 | 0.0330
75424.tiff | 24.372 | 27.366 | 2.995 | 0.0330
67214.tiff | 14.425 | 13.389 | 1.036 | 0.0330
65834.tiff | 42.381 | 44.638 | 2.257 | 0.0330
73252.tiff | 36.181 | 38.083 | 1.902 | 0.0330
74030.tiff | 26.714 | 23.545 | 3.169 | 0.0330
71201.tiff | 30.788 | 31.223 | 0.435 | 0.0330
75468.tiff | 20.724 | 24.167 | 3.443 | 0.0330
71453.tiff | 11.362 | 13.555 | 2.194 | 0.0330
70045.tiff | 41.886 | 42.110 | 0.224 | 0.0330
75253.tiff | 37.973 | 41.685 | 3.712 | 0.0330
66744.tiff | 15.212 | 14.342 | 0.870 | 0.0330
72130.tiff | 38.169 | 41.760 | 3.591 | 0.0330
69225.tiff | 20.306 | 18.767 | 1.540 | 0.0330
69408.tiff | 6.386 | 6.327 | 0.059 | 0.0330
68915.tiff | 9.696 | 12.607 | 2.912 | 0.0330
75224.tiff | 40.283 | 42.990 | 2.707 | 0.0330
73499.tiff | 14.573 | 15.525 | 0.953 | 0.0330
70647.tiff | 5.362 | 6.922 | 1.560 | 0.0330
67544.tiff | 10.912 | 11.965 | 1.053 | 0.0330
65931.tiff | 49.742 | 51.220 | 1.478 | 0.0330
73315.tiff | 31.212 | 33.619 | 2.407 | 0.0330
66198.tiff | 59.934 | 60.279 | 0.345 | 0.0330
71498.tiff | 7.933 | 10.119 | 2.186 | 0.0330
69697.tiff | 15.160 | 14.958 | 0.201 | 0.0330
73103.tiff | 42.574 | 43.383 | 0.810 | 0.0330
66430.tiff | 41.591 | 44.157 | 2.566 | 0.0330
76049.tiff | 24.171 | 17.611 | 6.560 | 0.0330
68096.tiff | 52.371 | 57.698 | 5.327 | 0.0330
67992.tiff | 44.481 | 49.590 | 5.109 | 0.0330
72794.tiff | 16.991 | 16.990 | 0.001 | 0.0330
75316.tiff | 33.170 | 37.788 | 4.617 | 0.0330
66154.tiff | 63.611 | 64.463 | 0.852 | 0.0330
65333.tiff | 5.258 | 6.522 | 1.264 | 0.0330
72746.tiff | 12.990 | 13.058 | 0.068 | 0.0330
67770.tiff | 27.511 | 32.808 | 5.297 | 0.0330
76037.tiff | 23.204 | 16.618 | 6.586 | 0.0330
66599.tiff | 27.420 | 26.434 | 0.986 | 0.0330
74416.tiff | 9.337 | 5.579 | 3.758 | 0.0330
69772.tiff | 20.904 | 20.773 | 0.132 | 0.0330
65965.tiff | 52.360 | 53.295 | 0.936 | 0.0330
70961.tiff | 22.307 | 21.983 | 0.323 | 0.0330
70268.tiff | 36.488 | 40.155 | 3.667 | 0.0330
72173.tiff | 34.583 | 37.863 | 3.280 | 0.0330
67699.tiff | 22.114 | 26.392 | 4.278 | 0.0330
70551.tiff | 13.325 | 14.536 | 1.211 | 0.0330
69520.tiff | 2.194 | 4.389 | 2.195 | 0.0330
66484.tiff | 37.092 | 38.619 | 1.527 | 0.0330
75178.tiff | 43.843 | 44.377 | 0.534 | 0.0330
72394.tiff | 16.184 | 17.742 | 1.558 | 0.0330
71131.tiff | 36.153 | 37.896 | 1.743 | 0.0330
71936.tiff | 24.568 | 28.194 | 3.626 | 0.0330
66427.tiff | 41.838 | 44.436 | 2.598 | 0.0330
67545.tiff | 10.986 | 12.150 | 1.165 | 0.0330
72083.tiff | 34.874 | 38.577 | 3.703 | 0.0330
71437.tiff | 12.672 | 14.711 | 2.040 | 0.0330
76233.tiff | 33.741 | 31.980 | 1.760 | 0.0330
71993.tiff | 28.985 | 32.515 | 3.531 | 0.0330
68071.tiff | 50.519 | 55.923 | 5.405 | 0.0330
67179.tiff | 17.014 | 15.401 | 1.613 | 0.0330
72201.tiff | 32.301 | 35.356 | 3.055 | 0.0330
74220.tiff | 26.370 | 22.728 | 3.642 | 0.0330
66058.tiff | 59.478 | 60.532 | 1.054 | 0.0330
70383.tiff | 26.944 | 30.071 | 3.127 | 0.0330
69484.tiff | 0.583 | 3.663 | 3.080 | 0.0330
69345.tiff | 11.195 | 10.965 | 0.230 | 0.0330
74029.tiff | 26.635 | 23.875 | 2.760 | 0.0330
67969.tiff | 42.695 | 48.095 | 5.401 | 0.0330
71302.tiff | 23.011 | 23.652 | 0.641 | 0.0330
68124.tiff | 54.571 | 59.042 | 4.471 | 0.0330
74074.tiff | 30.075 | 27.104 | 2.971 | 0.0330
66545.tiff | 32.054 | 31.897 | 0.157 | 0.0330
71568.tiff | 2.585 | 5.665 | 3.080 | 0.0330
75789.tiff | 4.046 | 3.335 | 0.711 | 0.0330
68774.tiff | 2.014 | 3.724 | 1.710 | 0.0330
75456.tiff | 21.691 | 24.795 | 3.104 | 0.0330
65725.tiff | 34.131 | 34.859 | 0.729 | 0.0330
74072.tiff | 29.905 | 26.825 | 3.080 | 0.0330
72963.tiff | 31.017 | 31.784 | 0.767 | 0.0330
72041.tiff | 32.705 | 36.393 | 3.688 | 0.0330
66128.tiff | 64.844 | 65.227 | 0.383 | 0.0330
69475.tiff | 1.301 | 3.756 | 2.455 | 0.0330
71616.tiff | 1.188 | 3.597 | 2.408 | 0.0330
71175.tiff | 32.778 | 33.785 | 1.007 | 0.0330
66587.tiff | 28.479 | 27.568 | 0.911 | 0.0330
69811.tiff | 23.857 | 23.561 | 0.296 | 0.0330
68560.tiff | 19.789 | 19.023 | 0.767 | 0.0330
71983.tiff | 28.235 | 31.484 | 3.249 | 0.0330
66562.tiff | 30.555 | 29.892 | 0.663 | 0.0330
70360.tiff | 28.893 | 32.455 | 3.562 | 0.0330
70951.tiff | 21.476 | 21.430 | 0.046 | 0.0330
74496.tiff | 2.711 | 3.625 | 0.914 | 0.0330
71188.tiff | 31.808 | 32.086 | 0.279 | 0.0330
69460.tiff | 2.423 | 3.970 | 1.547 | 0.0330
73135.tiff | 45.296 | 44.345 | 0.951 | 0.0330
69255.tiff | 18.035 | 17.196 | 0.839 | 0.0330
70399.tiff | 25.568 | 28.142 | 2.574 | 0.0330
72636.tiff | 3.853 | 4.392 | 0.539 | 0.0330
73871.tiff | 14.501 | 12.597 | 1.905 | 0.0330
68922.tiff | 10.294 | 13.143 | 2.849 | 0.0330
75415.tiff | 25.349 | 28.452 | 3.104 | 0.0330
74641.tiff | 9.308 | 14.184 | 4.876 | 0.0330
73500.tiff | 14.442 | 15.412 | 0.970 | 0.0330
73918.tiff | 18.094 | 15.761 | 2.333 | 0.0330
68288.tiff | 42.064 | 46.724 | 4.660 | 0.0330
75909.tiff | 13.308 | 7.821 | 5.486 | 0.0330
75243.tiff | 38.821 | 41.898 | 3.077 | 0.0330
73888.tiff | 15.739 | 13.740 | 2.000 | 0.0330
67606.tiff | 14.629 | 19.079 | 4.450 | 0.0330
75871.tiff | 10.347 | 5.604 | 4.743 | 0.0330
66393.tiff | 44.662 | 47.371 | 2.710 | 0.0330
72924.tiff | 27.670 | 27.790 | 0.120 | 0.0330
